"product_sku","product_name","category_id"
"00-119-8780","Halibut",7
"00-215-7434","Egg (Goose)",5
"00-357-2313","Avocado Oil",4
"00-366-9496","Grapes",3
"00-405-7428","Apple",3
"00-440-9568","Blueberries",3
"00-534-9775","Black Coffee",2
"00-641-8691","Black Coffee",2
"00-842-9790","Egg (Goose)",5
"00-963-2193","Milk",5
"01-018-6418","Chocolate Biscuit",6
"01-026-2772","Blueberries",3
"01-050-2246","Grapes",3
"01-144-5960","Trout",7
"01-173-0029","Blueberries",3
"01-439-6231","Sunflower Oil",4
"01-703-8441","Raw Sugar",1
"01-820-5784","Egg (Duck)",5
"01-839-6534","Short Grain Rice",1
"01-903-5373","Strawberries",3
"02-034-6209","Sour Cream",5
"02-085-7218","Cheddar Cheese",5
"02-170-5225","Raw Sugar",1
"02-275-6061","Potato",3
"02-484-0206","Short Grain Rice",1
"02-508-3777","Egg (Quail)",5
"02-559-8196","Mango",3
"02-575-1980","Plum",3
"02-655-3240","Rice Flour",1
"02-888-9412","Cauliflower",3
"02-895-7781","Coconut Sugar",1
"02-920-4829","White Bread",6
"02-974-8526","Onion",3
"03-043-9933","Strawberries",3
"03-061-1344","Trout",7
"03-149-9760","Whipped Cream",5
"03-276-3931","Mango",3
"03-441-4252","Yogurt",5
"03-597-9488","Buttermilk",5
"03-833-3577","Cucumber",3
"03-919-9890","Halibut",7
"03-940-0630","Sunflower Oil",4
"04-001-1793","Green Coffee",2
"04-038-1547","Rye Bread",6
"04-104-6993","Buttermilk",5
"04-240-2226","Olive Oil",4
"04-277-5245","Coconut Sugar",1
"04-293-6969","Peach",3
"04-453-5485","Tomato",3
"04-542-3863","Bread Flour",1
"04-637-8815","Apricot",3
"04-758-0410","Wild Rice",1
"05-184-4175","Black Coffee",2
"05-193-8096","Grapes",3
"05-334-2923","Bread Flour",1
"05-425-0746","Onion",3
"05-498-7751","Cauliflower",3
"05-720-8792","Carrot",3
"05-899-1428","Avocado Oil",4
"06-068-6793","Buttermilk",5
"06-336-5482","Sardines",7
"06-340-6856","Wild Rice",1
"06-503-5891","Egg (Goose)",5
"06-611-5454","Peanut Oil",4
"06-655-5498","Wild Rice",1
"06-690-2335","Jasmine Rice",1
"06-706-6490","Green Tea",2
"06-731-2162","Lemon",3
"06-797-4963","Pomegranate",3
"06-849-4869","Sesame Oil",4
"06-858-5680","Sesame Oil",4
"06-955-3428","Black Rice",1
"06-996-3221","Evaporated Milk",5
"07-074-1196","Plum",3
"07-219-8017","Palm Oil",4
"07-337-9889","Cauliflower",3
"07-389-5740","Egg (Quail)",5
"07-617-6934","Coconut Sugar",1
"07-679-1199","Onion",3
"07-834-3320","Egg (Quail)",5
"07-846-4804","Jasmine Rice",1
"07-858-5487","Swiss Cheese",5
"07-970-9352","Bell Pepper",3
"08-114-3922","Anchovies",7
"08-196-2703","Peas",3
"08-213-2058","Sour Cream",5
"08-226-5155","Bell Pepper",3
"08-396-2704","White Sugar",1
"08-495-6853","Heavy Cream",5
"08-519-5579","Broccoli",3
"08-573-9997","Pomegranate",3
"08-637-9335","Lettuce",3
"08-703-1382","Peach",3
"08-725-8156","Tilapia",7
"08-940-8578","Onion",3
"08-961-3009","Cheese",5
"09-101-1740","Sushi Rice",1
"09-286-8107","Greek Yogurt",5
"09-335-7793","Powdered Sugar",1
"09-536-2626","Olive Oil",4
"09-618-2842","White Sugar",1
"09-622-7119","Haddock",7
"09-712-3630","Grapes",3
"10-002-6494","Mango",3
"10-034-7654","Bread Flour",1
"10-137-9759","Watermelon",3
"10-218-2680","Egg (Turkey)",5
"10-249-7928","Black Rice",1
"10-255-8579","Basmati Rice",1
"10-378-9729","Cabbage",3
"10-445-0741","Anchovies",7
"10-555-5971","Sourdough Bread",6
"10-617-7581","Peanut Oil",4
"10-626-8536","Coconut Sugar",1
"10-768-2443","Multigrain Bread",6
"10-854-5467","Canola Oil",4
"11-032-9778","Peas",3
"11-053-0107","Cherry",3
"11-073-0189","Plum",3
"11-155-7826","Arabica Coffee",2
"11-316-8405","Mango",3
"11-325-7396","Mango",3
"11-338-4598","Potato",3
"11-581-9869","Carrot",3
"11-604-6002","Canola Oil",4
"11-733-1756","Rice Flour",1
"11-745-3025","Peach",3
"11-766-8738","Watermelon",3
"11-815-7923","Parmesan Cheese",5
"11-891-8213","Peanut Oil",4
"11-922-3342","Black Coffee",2
"12-046-2988","Corn Oil",4
"12-093-9863","Arborio Rice",1
"12-239-9399","Potato",3
"12-342-4482","Trout",7
"12-439-8428","Eggplant",3
"12-714-5135","Ricotta Cheese",5
"12-798-9401","Cream",5
"12-828-1063","Mozzarella Cheese",5
"12-998-3882","Egg (Turkey)",5
"13-144-2169","Eggplant",3
"13-202-4809","Garlic",3
"13-409-9040","White Tea",2
"13-673-7016","Peach",3
"13-798-3397","Egg (Turkey)",5
"13-844-2178","Sardines",7
"13-888-0149","Lime",3
"13-900-9016","Bell Pepper",3
"13-962-6263","Sweet Potato",3
"13-980-8804","Sweet Potato",3
"14-115-8371","Chocolate Biscuit",6
"14-305-5348","Cheese",5
"14-305-9690","Sushi Rice",1
"14-331-3739","Avocado Oil",4
"14-489-8669","All-Purpose Flour",1
"14-521-4167","Buttermilk",5
"14-550-2152","Green Tea",2
"14-681-7035","White Tea",2
"14-836-2894","Apple",3
"14-844-4138","Black Coffee",2
"15-045-8444","Green Coffee",2
"15-082-9124","Apricot",3
"15-144-9413","Strawberries",3
"15-169-8058","Bread Flour",1
"15-240-6267","Eggplant",3
"15-562-3712","Cauliflower",3
